filing_uuid,filing_year,filing_period,filing_type,registrant_name,client_name,client_desc,income,shell_score,sig_sovereign_client,sig_established_govt,sig_esoteric_terms,sig_self_styled_title,sig_posted_by_llc_slashes,sig_global_pbc_naming,url
d60611b7-466e-46bd-aa78-110030874e67,2025,fourth_quarter,4A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,4,1,0,1,1,0,1,https://lda.senate.gov/api/v1/filings/d60611b7-466e-46bd-aa78-110030874e67/?format=json
3f529b62-7fd9-4e89-ab76-6a250e7b3175,2025,second_quarter,2A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,4,1,0,1,1,0,1,https://lda.senate.gov/api/v1/filings/3f529b62-7fd9-4e89-ab76-6a250e7b3175/?format=json
f77a4908-5b4f-41d6-a9c7-acc85dee6946,2025,fourth_quarter,Q4,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,4,1,0,1,1,0,1,https://lda.senate.gov/api/v1/filings/f77a4908-5b4f-41d6-a9c7-acc85dee6946/?format=json
e0602008-d4bf-4d07-9270-0f7010100f55,2025,second_quarter,2A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,3,1,0,1,0,0,1,https://lda.senate.gov/api/v1/filings/e0602008-d4bf-4d07-9270-0f7010100f55/?format=json
c2d195d2-8df2-4b75-8e95-7014cacd5e81,2025,second_quarter,Q2,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,3,1,0,0,1,0,1,https://lda.senate.gov/api/v1/filings/c2d195d2-8df2-4b75-8e95-7014cacd5e81/?format=json
4d5b1cb0-0971-43b8-958b-d260e2be8af1,2025,first_quarter,1A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,3,1,0,0,1,0,1,https://lda.senate.gov/api/v1/filings/4d5b1cb0-0971-43b8-958b-d260e2be8af1/?format=json
892864a7-3824-416c-ad6b-413769e9de0c,2025,second_quarter,2A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,3,1,0,1,0,0,1,https://lda.senate.gov/api/v1/filings/892864a7-3824-416c-ad6b-413769e9de0c/?format=json
3c51c64d-4b5a-46dd-bf93-fe8a154ab103,2025,second_quarter,2A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",20000000.0,3,1,0,1,0,0,1,https://lda.senate.gov/api/v1/filings/3c51c64d-4b5a-46dd-bf93-fe8a154ab103/?format=json
842e03af-220d-407b-823e-cee25fcd50a2,2025,first_quarter,Q1,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",,3,1,0,1,0,0,1,https://lda.senate.gov/api/v1/filings/842e03af-220d-407b-823e-cee25fcd50a2/?format=json
40b2e959-8790-48d0-8d9f-a49b612b6374,2025,first_quarter,1A,LOC COMMUNITY ASSOCIATION,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,"Established sovereign govt:drafting formal constitution, laws, negotiating treaties, et al",,3,1,0,1,0,0,1,https://lda.senate.gov/api/v1/filings/40b2e959-8790-48d0-8d9f-a49b612b6374/?format=json
